Workflow,ChunkFunc,SLAM,StepConf
Cyclic-0.49MB,0.0,0.0,0.0
Cyclic-1.03MB,0.0,0.0,0.0
Cyclic-1.54MB,0.0,0.0,0.0
FaceDet-0.33MB,0.0,0.0,0.0
FaceDet-1.24MB,0.0,0.0,0.0
FaceDet-1.54MB,0.0,0.0,0.0
High Resources - Low Resources-14.25MB,0.0,0.0,0.0
High Resources - Low Resources-2.07MB,0.0,0.0,0.0
High Resources - Low Resources-6.16MB,0.0,0.0,0.0
Homogeneous-0.49MB,0.0,0.0,0.0
Homogeneous-0.82MB,0.0,0.0,0.0
Homogeneous-1.24MB,0.0,0.0,0.0
Low Resources - High Resources-0.33MB,0.0,0.0,0.0
Low Resources - High Resources-1.03MB,0.0,0.0,0.0
Low Resources - High Resources-1.54MB,0.0,0.0,0.0
Random-14.34MB,0.0,1.0,0.0
Random-2.1MB,0.0,1.0,0.0
Random-6.18MB,0.0,1.0,0.0
Staircase-0.33MB,0.0,0.0,0.0
Staircase-1.03MB,0.0,0.0,0.0
Staircase-1.54MB,0.0,0.0,0.0
VidPro-227.85MB,0.0,0.0,0.0
VidPro-40.3MB,0.0,0.0,0.0
VidPro-500.73MB,0.0,0.0,0.0
