Workflow,ChunkFunc,CF-Oracle,ChunkFunc/CF-Oracle (both SLO compliant),SLAM,ChunkFunc/SLAM (both SLO compliant),StepConf,ChunkFunc/StepConf (both SLO compliant)
Cyclic,,,,,,,
FaceDet,,,,,,,
High Resources - Low Resources,,,,,,,
Homogeneous,,,,,,,
Low Resources - High Resources,,,,,,,
Random,,,,-10000.0,-0.10537699999999989,,
Staircase,,,,,,,
VidPro,,,,,,,
