scenario,estimateMultiplier,safetyMargin,profileIncrements,avgCost
scenario-01,1.0,0.19,3,.44028360493827159407
scenario-01,1.5,0.07,3,.44048222222222220469
scenario-01,1.5,0.1,3,.44079654320987652750
scenario-01,2.0,0.06,3,.44102696296296293716
scenario-01,1.2,0.1,3,.44105180246913578740
scenario-01,1.9,0.01,3,.44109081481481479061
scenario-01,1.4,0.04,3,.44111412345679011644
scenario-01,2.0,0.06,1,.44114403703703701123
scenario-01,1.4,0.03,3,.44185872839506171980
scenario-01,1.4,0.02,2,.44272296296296295580
scenario-01,1.5,0.06,3,.44337570370370368703
scenario-01,2.0,0.07,1,.44370188888888886135
scenario-01,2.0,0.08,1,.44382381481481478765
scenario-01,1.9,0.1,1,.44385446913580244555
scenario-01,1.9,0.03,2,.44391251851851849456
scenario-01,2.0,0.09,1,.44394574074074071234
scenario-01,1.5,0.05,2,.44414874074074072424
scenario-01,1.9,0.05,2,.44415618518518516000
scenario-01,1.2,0.12,3,.44419343209876541419
scenario-01,1.3,0.04,2,.44523319753086418861
scenario-01,1.0,0.2,3,.44620291358024690271
scenario-01,1.3,0.11,3,.44637459259259257382
scenario-01,1.3,0.12,3,.44645730864197528950
scenario-01,1.9,0.09,1,.44669219753086417271
scenario-01,1.2,0.09,3,.44683876543209875197
scenario-01,1.9,0.11,1,.44690556790123454555
scenario-01,1.9,0.12,1,.44693604938271602703
scenario-01,1.9,0.13,1,.44693604938271602703
scenario-01,1.9,0.14,1,.44696653086419750851
scenario-01,1.9,0.02,2,.44697499999999997604
scenario-01,2.0,0.1,1,.44699683950617281111
scenario-01,1.9,0.04,1,.44719098765432096370
scenario-01,1.5,0.04,2,.44753032098765430320
scenario-01,1.1,0.16,3,.44845019753086418024
scenario-01,1.3,0.11,2,.44873343209876542441
scenario-01,1.3,0.1,3,.44925153086419751283
scenario-01,1.9,0.08,1,.44952992592592590111
scenario-01,1.9,0.05,3,.44969940740740738222
scenario-01,2.0,0.07,2,.44971987654320984901
scenario-01,1.9,0.15,1,.44992618518518516283
scenario-01,1.9,0.03,1,.44996775308641972913
scenario-01,2.0,0.07,3,.44997209876543207123
scenario-01,1.9,0.01,2,.45006455555555553148
scenario-01,1.2,0.13,3,.45012928395061726641
scenario-01,1.5,0.03,2,.45059264197530862419
scenario-01,1.4,0.02,3,.45117349382716048518
scenario-01,1.8,0.02,3,.45129116049382713493
scenario-01,1.3,0.03,2,.45146597530864196639
scenario-01,1.8,0.01,3,.45146770370370367728
scenario-01,1.4,0.11,3,.45205681481481480454
scenario-01,1.3,0.13,3,.45242624691358022654
scenario-01,1.9,0.06,2,.45282402469135799987
scenario-01,1.9,0.02,1,.45300638271604935876
scenario-01,2.0,0.11,1,.45300759259259256296
scenario-01,2.0,0.12,1,.45300759259259256296
scenario-01,2.0,0.13,1,.45303807407407404444
scenario-01,1.9,0.01,1,.45305487654320985246
scenario-01,2.0,0.14,1,.45306855555555552592
scenario-01,2.0,0.15,1,.45306855555555552592
scenario-01,1.2,0.14,3,.45312202469135800604
scenario-01,1.9,0.05,1,.45326270370370367851
scenario-01,1.6,0.04,3,.45339886419753084432
scenario-01,1.5,0.02,2,.45351975308641973411
scenario-01,1.1,0.17,3,.45440259259259257567
scenario-01,1.5,0.1,2,.45470464197530863540
scenario-01,1.9,0.07,1,.45561965432098762827
scenario-01,1.5,0.11,3,.45567753086419751530
scenario-01,1.5,0.04,3,.45582876543209874716
scenario-01,2.0,0.08,2,.45601275308641972592
scenario-01,2.0,0.16,1,.45602820987654318024
scenario-01,1.9,0.06,1,.45605193827160491345
scenario-01,1.2,0.15,3,.45609822222222220148
scenario-01,1.5,0.02,3,.45616049382716047456
scenario-01,2.0,0.08,3,.45623338271604935555
scenario-01,1.6,0.03,3,.45653506172839504061
scenario-01,1.8,0.03,3,.45701738271604935641
scenario-01,1.4,0.12,2,.45735806172839505775
scenario-01,1.5,0.05,3,.45857187654320985975
scenario-01,1.9,0.16,1,.45880514814814812456
scenario-01,1.5,0.03,3,.45897669135802467308
scenario-01,1.3,0.03,3,.45942641975308641037
scenario-01,1.8,0.01,2,.46044144444444441802
scenario-01,1.4,0.01,2,.46068654320987653370
scenario-01,1.7,0.03,3,.46145841975308639666
scenario-01,1.9,0.07,2,.46149186419753083938
scenario-01,1.9,0.06,3,.46158765432098762950
scenario-01,1.6,0.05,3,.46177585185185183333
scenario-01,1.4,0.03,1,.46177934567901233432
scenario-01,1.3,0.04,3,.46193162962962962037
scenario-01,1.5,0.01,3,.46223980246913578345
scenario-01,1.5,0.01,2,.46239324691358022806
scenario-01,2.0,0.09,3,.46249466666666663827
scenario-01,1.6,0.02,3,.46259782716049380629
scenario-01,1.6,0.03,2,.46283646913580244851
scenario-01,1.8,0.03,2,.46322251851851849234
scenario-01,1.8,0.01,1,.46346224691358021938
scenario-01,1.3,0.12,2,.46353170370370369548
scenario-01,1.4,0.04,1,.46413632098765431160
scenario-01,1.2,0.08,3,.46438162962962962098
scenario-01,1.9,0.08,2,.46453274074074071839
scenario-01,1.7,0.02,3,.46459461728395059419
scenario-01,1.7,0.03,2,.46466629629629627283
scenario-01,1.4,0.02,1,.46475701234567900172
scenario-01,1.7,0.01,3,.46478770370370368148
scenario-01,2.0,0.17,1,.46490717283950614234
scenario-01,1.2,0.16,3,.46497718518518516358
scenario-01,2.0,0.09,2,.46529235802469133086
scenario-01,1.6,0.01,3,.46571748148148145950
scenario-01,1.6,0.04,2,.46574744444444442629
scenario-01,1.6,0.02,2,.46579065432098763370
scenario-01,1.6,0.01,2,.46581225925925923753
scenario-01,1.8,0.04,2,.46607934567901231864
scenario-01,1.1,0.18,3,.46624120987654319370
scenario-01,1.5,0.01,1,.46624375308641973432
scenario-01,1.8,0.02,2,.46628499999999997469
scenario-01,1.4,0.01,3,.46639102469135801382
scenario-01,1.5,0.02,1,.46648760493827158617
scenario-01,1.3,0.14,3,.46725760493827158432
scenario-01,1.9,0.07,3,.46755659259259256654
scenario-01,1.5,0.12,3,.46758232098765430506
scenario-01,1.9,0.17,1,.46768411111111108629
scenario-01,1.7,0.02,2,.46770170370370368024
scenario-01,1.7,0.01,2,.46783160493827158246
scenario-01,1.8,0.04,3,.46866291358024688654
scenario-01,1.8,0.12,1,.46874975308641973345
scenario-01,1.5,0.11,2,.46961120987654320491
scenario-01,1.7,0.05,2,.46982233333333331358
scenario-01,1.6,0.08,2,.46989654320987653246
scenario-01,1.4,0.12,3,.46993054320987653049
scenario-01,1.6,0.06,2,.47026464197530862506
scenario-01,1.7,0.04,2,.47027165432098763333
scenario-01,1.4,0.01,1,.47037150617283949432
scenario-01,1.9,0.08,3,.47056587654320985172
scenario-01,1.6,0.06,3,.47075407407407405543
scenario-01,1.7,0.01,1,.47084899999999997654
scenario-01,1.6,0.07,3,.47086987654320985814
scenario-01,1.2,0.17,3,.47089649382716047012
scenario-01,1.9,0.09,3,.47090785185185182703
scenario-01,1.6,0.08,3,.47093604938271603197
scenario-01,1.6,0.05,2,.47095216049382714358
scenario-01,1.6,0.09,3,.47103530864197529185
scenario-01,2.0,0.1,3,.47142325925925923086
scenario-01,1.8,0.11,1,.47167892592592590506
scenario-01,1.8,0.13,1,.47173988888888887049
scenario-01,1.8,0.05,2,.47205280246913577666
scenario-01,1.4,0.13,2,.47215633333333332930
scenario-01,1.1,0.19,3,.47216051851851850271
scenario-01,1.8,0.02,1,.47229271604938268827
scenario-01,1.7,0.06,2,.47235974074074072345
scenario-01,1.4,0.05,1,.47267454320987653259
scenario-01,1.7,0.04,3,.47286123456790121271
scenario-01,1.6,0.09,2,.47301864197530863382
scenario-01,1.6,0.07,2,.47304024691358023246
scenario-01,1.7,0.03,1,.47368118518518515839
scenario-01,1.7,0.02,1,.47372967901234565345
scenario-01,2.0,0.18,1,.47378613580246910444
scenario-01,1.9,0.1,3,.47393367901234565543
scenario-01,1.6,0.1,3,.47402804938271603259
scenario-01,2.0,0.1,2,.47427961728395059012
scenario-01,1.8,0.08,2,.47440616049382714086
scenario-01,1.8,0.09,1,.47445569135802466802
scenario-01,1.8,0.1,1,.47457761728395059518
scenario-01,1.8,0.05,3,.47461530864197528160
scenario-01,1.6,0.02,1,.47499622222222220185
scenario-01,1.6,0.01,1,.47501423456790121296
scenario-01,1.1,0.2,3,.47512017283950615703
scenario-01,1.8,0.03,1,.47520387654320984666
scenario-01,1.7,0.08,2,.47521656790123455432
scenario-01,1.5,0.03,1,.47543999999999998246
scenario-01,1.2,0.07,3,.47603827160493826654
scenario-01,1.3,0.15,3,.47615311111111108962
scenario-01,1.7,0.04,1,.47639144444444441765
scenario-01,1.9,0.09,2,.47679907407407405419
scenario-01,1.9,0.11,3,.47697604938271602629
scenario-01,1.8,0.07,2,.47728459259259257296
scenario-01,2.0,0.11,2,.47732049382716046543
scenario-01,2.0,0.11,3,.47740874074074071074
scenario-01,1.8,0.06,2,.47749571604938269395
scenario-01,1.8,0.08,1,.47752480246913577790
scenario-01,1.8,0.14,1,.47765919753086417913
scenario-01,1.6,0.03,1,.47796834567901232407
scenario-01,1.7,0.07,2,.47809499999999998518
scenario-01,1.8,0.04,1,.47811503703703700629
scenario-01,1.8,0.05,1,.47820648148148145074
scenario-01,1.5,0.04,1,.47829024691358022938
scenario-01,1.7,0.09,2,.47831159259259258024
scenario-01,1.4,0.13,3,.47882604938271603506
scenario-01,1.2,0.09,2,.47909549382716048592
scenario-01,1.2,0.06,3,.47912483950617283518
scenario-01,1.2,0.1,2,.47914964197530863432
scenario-01,1.2,0.08,2,.47917124691358024054
scenario-01,1.7,0.05,1,.47924164197530861395
scenario-01,1.8,0.09,2,.48048791358024689765
scenario-01,1.8,0.06,3,.48060079012345676432
scenario-01,1.8,0.06,1,.48082529629629626925
scenario-01,1.5,0.06,1,.48089119753086418123
scenario-01,1.5,0.05,1,.48111006172839504543
scenario-01,1.4,0.06,1,.48124319753086418444
scenario-01,1.7,0.05,3,.48180637037037034851
scenario-01,1.4,0.14,3,.48183533333333331913
scenario-01,1.3,0.16,3,.48207241975308639864
scenario-01,1.2,0.18,3,.48276819753086417370
scenario-01,1.9,0.12,3,.48292844444444442098
scenario-01,1.6,0.11,3,.48298972839506171283
scenario-01,1.6,0.12,3,.48302281481481480049
scenario-01,2.0,0.12,3,.48332804938271601938
scenario-01,1.8,0.07,3,.48361007407407404950
scenario-01,1.8,0.07,1,.48364501234567898777
scenario-01,1.3,0.13,2,.48424928395061727555
scenario-01,1.7,0.1,2,.48436627160493826185
scenario-01,1.0,0.12,2,.48467364197530862548
scenario-01,1.4,0.15,3,.48481153086419751543
scenario-01,1.7,0.06,3,.48486528395061726296
scenario-01,1.7,0.07,3,.48494799999999997987
scenario-01,1.6,0.1,2,.48496555555555554876
scenario-01,1.7,0.08,3,.48499762962962961074
scenario-01,1.7,0.09,3,.48504725925925924037
scenario-01,1.7,0.1,3,.48509688888888887123
scenario-01,1.5,0.13,3,.48538987654320985864
scenario-01,1.9,0.18,1,.48544203703703701049
scenario-01,1.2,0.19,3,.48572785185185182839
scenario-01,1.8,0.15,1,.48653816049382714086
scenario-01,1.8,0.08,3,.48660281481481479024
scenario-01,1.8,0.09,3,.48666898765432096432
scenario-01,1.6,0.04,1,.48676833333333331172
scenario-01,1.5,0.12,2,.48747743209876542869
scenario-01,1.7,0.06,1,.48781024691358022012
scenario-01,1.3,0.17,3,.48800827160493824962
scenario-01,1.2,0.07,2,.48807181481481481190
scenario-01,1.2,0.2,3,.48868750617283948308
scenario-01,1.9,0.1,2,.48880013580246912086
scenario-01,2.0,0.12,2,.48915911111111108395
scenario-01,1.4,0.14,2,.48994133333333332925
scenario-01,1.7,0.09,1,.49011870370370368185
scenario-01,1.7,0.11,2,.49036680246913579530
scenario-01,1.2,0.06,2,.49105307407407406795
scenario-01,1.7,0.11,3,.49106582716049381037
scenario-01,2.0,0.19,1,.49154406172839502864
scenario-01,1.9,0.13,3,.49184049382716046962
scenario-01,2.0,0.13,3,.49222355555555552555
scenario-01,1.6,0.06,1,.49249920987654318827
scenario-01,1.8,0.1,3,.49267101234567898987
scenario-01,1.1,0.15,2,.49287756790123456345
scenario-01,1.1,0.14,2,.49287756790123456469
scenario-01,1.5,0.07,1,.49288222222222220469
scenario-01,1.1,0.16,2,.49290464197530863753
scenario-01,1.7,0.08,1,.49324877777777775469
scenario-01,1.7,0.07,1,.49341919753086417197
scenario-01,1.0,0.13,2,.49366090123456788666
scenario-01,1.4,0.16,3,.49370703703703702074
scenario-01,1.2,0.11,2,.49394791358024690666
scenario-01,1.9,0.14,3,.49483323456790121000
scenario-01,1.9,0.11,2,.49485481481481480234
scenario-01,1.6,0.13,3,.49487797530864195975
scenario-01,2.0,0.13,2,.49510549382716046790
scenario-01,1.6,0.05,1,.49527597530864195493
scenario-01,1.8,0.11,3,.49568029629629627469
scenario-01,1.1,0.17,2,.49594551851851851530
scenario-01,1.3,0.18,3,.49688723456790121172
scenario-01,1.6,0.11,2,.49693954320987653888
scenario-01,1.7,0.12,3,.49705130864197529271
scenario-01,1.5,0.14,3,.49726158024691356074
scenario-01,2.0,0.14,2,.49809222222222219629
scenario-01,2.0,0.15,2,.49809222222222219629
scenario-01,2.0,0.16,2,.49809222222222219629
scenario-01,2.0,0.14,3,.49815940740740737740
scenario-01,1.8,0.16,1,.49837677777777775604
scenario-01,1.8,0.1,2,.49843535802469134703
scenario-01,1.8,0.12,3,.49867303703703701629
scenario-01,1.4,0.07,1,.49872124691358023382
scenario-01,1.1,0.13,2,.49874272839506172271
scenario-01,1.4,0.15,2,.49882029629629629098
scenario-01,1.7,0.1,1,.49908911111111109049
scenario-01,1.0,0.14,2,.49963435802469134765
scenario-01,1.7,0.13,3,.50004404938271603469
scenario-01,1.5,0.15,3,.50023777777777775703
scenario-01,1.9,0.15,3,.50076908641975306185
scenario-01,1.9,0.12,2,.50080119753086418629
scenario-01,1.9,0.13,2,.50080119753086418629
scenario-01,1.9,0.14,2,.50082827160493826037
scenario-01,1.9,0.15,2,.50082827160493826037
scenario-01,1.6,0.14,3,.50083037037037035197
scenario-01,1.6,0.07,1,.50103733333333331172
scenario-01,1.8,0.11,2,.50147623456790122604
scenario-01,1.8,0.12,2,.50153038271604937666
scenario-01,1.1,0.1,2,.50159376543209876172
scenario-01,1.1,0.12,2,.50167530864197530296
scenario-01,1.1,0.11,2,.50167530864197530469
scenario-01,1.3,0.14,2,.50203428395061727802
scenario-01,1.7,0.12,2,.50234079012345678679
scenario-01,1.3,0.06,1,.50253749382716047938
scenario-01,1.3,0.19,3,.50280654320987651950
scenario-01,1.3,0.05,1,.50296967901234566703
scenario-01,1.7,0.14,3,.50302024691358023061
scenario-01,1.3,0.03,1,.50343774074074073000
scenario-01,1.9,0.16,2,.50378792592592591345
scenario-01,2.0,0.15,3,.50407871604938268604
scenario-01,1.1,0.09,2,.50447203703703703308
scenario-01,1.8,0.13,2,.50457125925925925691
scenario-01,1.8,0.13,3,.50464197530864195543
scenario-01,1.5,0.13,2,.50523535802469135395
scenario-01,1.4,0.17,3,.50554565432098763753
scenario-01,1.0,0.15,2,.50558074074074073456
scenario-01,1.3,0.2,3,.50576619753086417172
scenario-01,1.5,0.16,3,.50617362962962960765
scenario-01,2.0,0.2,1,.50634233333333329851
scenario-01,1.3,0.04,1,.50637953086419752012
scenario-01,1.9,0.17,2,.50674758024691356654
scenario-01,1.6,0.08,1,.50681670370370368209
scenario-01,2.0,0.17,2,.50697118518518515839
scenario-01,1.8,0.15,2,.50755798765432098530
scenario-01,1.8,0.14,2,.50755798765432098654
scenario-01,1.5,0.08,1,.50763199999999998246
scenario-01,1.1,0.18,2,.50778413580246913432
scenario-01,1.7,0.11,1,.50802903703703701765
scenario-01,1.7,0.13,2,.50836839506172839419
scenario-01,1.2,0.12,2,.50874618518518517950
scenario-01,1.6,0.12,2,.50891353086419753024
scenario-01,1.7,0.15,3,.50897264197530862283
scenario-01,1.9,0.19,1,.50911927160493824246
scenario-01,1.6,0.15,3,.50972587654320985567
scenario-01,1.8,0.16,2,.51051764197530863753
scenario-01,1.3,0.07,1,.51130699999999998555
scenario-01,1.7,0.14,2,.51132804938271604728
scenario-01,1.0,0.16,2,.51155419753086419432
scenario-01,1.5,0.17,3,.51209293827160491506
scenario-01,2.0,0.18,2,.51289049382716046617
scenario-01,1.8,0.17,1,.51317504938271602679
scenario-01,1.8,0.14,3,.51353748148148146160
scenario-01,1.8,0.15,3,.51357056790123454641
scenario-01,1.4,0.16,2,.51361856790123456296
scenario-01,1.4,0.08,1,.51370240740740738975
scenario-01,1.1,0.19,2,.51370344444444444469
scenario-01,1.5,0.14,2,.51411432098765431567
scenario-01,1.4,0.18,3,.51444116049382714283
scenario-01,1.2,0.15,2,.51471964197530864172
scenario-01,1.2,0.14,2,.51471964197530864296
scenario-01,1.2,0.16,2,.51471964197530864296
scenario-01,1.2,0.17,2,.51474671604938271827
scenario-01,1.2,0.18,2,.51477379012345679111
scenario-01,1.2,0.19,2,.51477379012345679111
scenario-01,1.6,0.09,1,.51555572839506170802
scenario-01,1.9,0.16,3,.51556735802469133296
scenario-01,1.5,0.09,1,.51640150617283948864
scenario-01,1.4,0.09,1,.51655260493827158765
scenario-01,1.3,0.15,2,.51683255555555555086
scenario-01,1.7,0.12,1,.51696896296296294481
scenario-01,1.7,0.15,2,.51724735802469135382
scenario-01,1.4,0.2,3,.51740081481481479592
scenario-01,1.4,0.19,3,.51740081481481479716
scenario-01,1.0,0.17,2,.51750058024691358000
scenario-01,1.2,0.13,2,.51762514814814814543
scenario-01,1.2,0.2,2,.51773344444444444543
scenario-01,1.7,0.16,3,.51786814814814812728
scenario-01,1.9,0.18,2,.51858619753086418209
scenario-01,1.6,0.16,3,.51862138271604935975
scenario-01,2.0,0.16,3,.51887698765432095802
scenario-01,1.8,0.17,2,.51939660493827159839
scenario-01,1.8,0.16,3,.51950641975308639654
scenario-01,1.8,0.17,3,.51953950617283948049
scenario-01,1.1,0.2,2,.51962275308641975506
scenario-01,1.7,0.16,2,.52020701234567900604
scenario-01,1.0,0.18,2,.52046023456790123481
scenario-01,1.9,0.17,3,.52148666666666664074
scenario-01,1.5,0.1,1,.52244274074074072197
scenario-01,1.4,0.1,1,.52256335802469134111
scenario-01,1.5,0.15,2,.52299328395061727864
scenario-01,1.3,0.08,1,.52326754320987652876
scenario-01,1.0,0.19,2,.52341988888888888962
scenario-01,1.6,0.13,2,.52373887654320987629
scenario-01,1.5,0.18,3,.52394809876543207382
scenario-01,1.6,0.1,1,.52449565432098763271
scenario-01,2.0,0.19,2,.52472911111111108172
scenario-01,1.7,0.13,1,.52587840740740739049
scenario-01,1.0,0.2,2,.52637954320987654444
scenario-01,1.6,0.14,2,.52669853086419752851
scenario-01,1.3,0.16,2,.52867117283950617061
scenario-01,1.5,0.16,2,.52891259259259258728
scenario-01,1.3,0.09,1,.52930877777777776086
scenario-01,1.9,0.18,3,.53036562962962960234
scenario-01,1.6,0.17,3,.53047654320987651938
scenario-01,1.6,0.11,1,.53053688888888886851
scenario-01,1.8,0.18,1,.53093297530864194975
scenario-01,1.8,0.18,2,.53123522222222221271
scenario-01,1.5,0.11,1,.53138266666666664827
scenario-01,1.7,0.17,2,.53204562962962962037
scenario-01,1.6,0.15,2,.53261783950617283506
scenario-01,1.7,0.17,3,.53268296296296293913
scenario-01,1.9,0.2,1,.53279650617283947530
scenario-01,1.5,0.19,3,.53282706172839503716
scenario-01,1.9,0.19,2,.53338446913580245111
scenario-01,2.0,0.2,2,.53360807407407404296
scenario-01,2.0,0.17,3,.53367525925925922876
scenario-01,1.4,0.17,2,.53433614814814814320
scenario-01,1.4,0.11,1,.53449341975308640283
scenario-01,1.7,0.14,1,.53475737037037035222
scenario-01,1.6,0.18,3,.53639585185185182679
scenario-01,1.6,0.19,3,.53641239506172836876
scenario-01,1.6,0.12,1,.53648667901234565987
scenario-01,1.8,0.18,3,.53729743209876540382
scenario-01,2.0,0.18,3,.53959456790123453654
scenario-01,1.8,0.19,2,.54014125925925924765
scenario-01,1.5,0.12,1,.54029211111111109308
scenario-01,1.3,0.1,1,.54136076543209874777
scenario-01,1.6,0.16,2,.54149680246913579592
scenario-01,1.7,0.18,3,.54157846913580244358
scenario-01,1.5,0.2,3,.54170602469135799962
scenario-01,1.9,0.2,2,.54226343209876541234
scenario-01,1.3,0.17,2,.54349651851851851802
scenario-01,1.7,0.15,1,.54363633333333331308
scenario-01,1.5,0.17,2,.54371086419753086012
scenario-01,1.6,0.2,3,.54529135802469133209
scenario-01,1.6,0.13,1,.54536564197530862197
scenario-01,2.0,0.19,3,.54551387654320984345
scenario-01,1.8,0.19,1,.54576172839506169950
scenario-01,1.8,0.19,3,.54619293827160490864
scenario-01,1.4,0.12,1,.54633203703703702012
scenario-01,1.3,0.18,2,.54648324691358024691
scenario-01,1.3,0.19,2,.54648324691358024814
scenario-01,1.3,0.2,2,.54648324691358024814
scenario-01,1.4,0.14,1,.54648444444444442802
scenario-01,1.4,0.15,1,.54657588888888887283
scenario-01,1.7,0.18,2,.54687097530864196395
scenario-01,1.3,0.11,1,.54737151851851850086
scenario-01,1.7,0.19,3,.54749777777777775135
scenario-01,1.9,0.19,3,.54812355555555552641
scenario-01,1.2,0.1,1,.54859258024691356456
scenario-01,1.8,0.2,2,.54902022222222220975
scenario-01,1.3,0.12,1,.55042261728395059962
scenario-01,1.7,0.2,3,.55045743209876540444
scenario-01,1.2,0.09,1,.55136934567901233123
