scenario,estimateMultiplier,safetyMargin,profileIncrements,avgCost
scenario-01,1.2,0.09,3,2.38240930864197566049
scenario-01,1.3,0.03,3,2.38546269135802499876
scenario-01,1.1,0.1,1,2.38666820987654332222
scenario-01,1.0,0.16,1,2.38801508641975307777
scenario-01,1.1,0.17,3,2.38927701234567934444
scenario-01,1.2,0.08,2,2.39248323456790124567
scenario-01,1.1,0.15,2,2.39380345679012340493
scenario-01,1.2,0.1,3,2.40013055555555590123
scenario-01,1.1,0.11,1,2.40153469135802479629
scenario-01,1.5,0.01,2,2.40176386419753106172
scenario-01,1.4,0.01,1,2.40270538271604973456
scenario-01,1.2,0.06,1,2.40356069135802487530
scenario-01,1.3,0.03,2,2.40395665432098777530
scenario-01,1.2,0.09,2,2.40726314814814814938
scenario-01,1.1,0.18,3,2.40990507407407440246
scenario-01,1.1,0.16,2,2.41154477777777770493
scenario-01,1.5,0.01,3,2.41567319753086449382
scenario-01,1.0,0.17,1,2.41774792592592589753
scenario-01,1.2,0.11,3,2.42076739506172872716
scenario-01,1.3,0.04,3,2.42080330864197564691
scenario-01,1.2,0.1,2,2.42221780246913578148
scenario-01,1.5,0.01,1,2.42526192592592625802
scenario-01,1.4,0.02,2,2.42662653086419767901
scenario-01,1.1,0.19,3,2.42764324691358057160
scenario-01,1.2,0.12,3,2.42974912345679047160
scenario-01,1.1,0.12,1,2.43113128395061737283
scenario-01,1.3,0.03,1,2.43149061728395089012
scenario-01,1.1,0.17,2,2.43229638271604928395
scenario-01,1.2,0.07,1,2.43271097530864214691
scenario-01,1.2,0.11,2,2.43417446913580243086
scenario-01,1.3,0.05,3,2.43572096296296330987
scenario-01,1.1,0.2,3,2.43669313580246946296
scenario-01,1.4,0.02,3,2.43763614814814844197
scenario-01,1.2,0.13,3,2.44161344444444478518
scenario-01,1.3,0.06,3,2.44194912345679049135
scenario-01,1.3,0.04,2,2.44238109876543220123
scenario-01,1.1,0.18,2,2.44428008641975296913
scenario-01,1.0,0.18,1,2.44448353086419749876
scenario-01,1.1,0.13,1,2.44905154320987661111
scenario-01,1.2,0.14,3,2.45054072839506206172
scenario-01,1.1,0.19,2,2.45342467901234554320
scenario-01,1.3,0.05,2,2.45457829629629637283
scenario-01,1.2,0.12,2,2.45495309876543204074
scenario-01,1.5,0.02,2,2.45589741975308655308
scenario-01,1.2,0.08,1,2.45654188888888902345
scenario-01,1.6,0.01,2,2.45934234567901248641
scenario-01,1.4,0.02,1,2.45938424691358056790
scenario-01,1.5,0.02,3,2.46034714814814846913
scenario-01,1.2,0.15,3,2.46252908641975342962
scenario-01,1.3,0.06,2,2.46367067901234574074
scenario-01,1.3,0.04,1,2.46439746913580269135
scenario-01,1.0,0.19,1,2.46548822222222220000
scenario-01,1.2,0.13,2,2.46695259259259252222
scenario-01,1.1,0.2,2,2.46836801234567885679
scenario-01,1.3,0.07,3,2.46849818518518555061
scenario-01,1.6,0.01,1,2.46878837037037063703
scenario-01,1.1,0.14,1,2.46967497530864202716
scenario-01,1.6,0.01,3,2.47010437037037059753
scenario-01,1.4,0.03,3,2.47325593827160528271
scenario-01,1.3,0.08,3,2.47750549382716085061
scenario-01,1.2,0.14,2,2.47878695061728386419
scenario-01,1.1,0.15,1,2.47884807407407410740
scenario-01,1.2,0.09,1,2.48012050617283963086
scenario-01,1.2,0.16,3,2.48040792592592626049
scenario-01,1.0,0.2,1,2.48051425925925924074
scenario-01,1.4,0.03,2,2.48305072839506186172
scenario-01,1.3,0.09,3,2.48359741975308678271
scenario-01,1.3,0.07,2,2.48443824691358029012
scenario-01,1.2,0.17,3,2.48940298765432130493
scenario-01,1.1,0.16,1,2.49086518518518521358
scenario-01,1.3,0.05,1,2.49131890123456812592
scenario-01,1.3,0.1,3,2.49258775308642011481
scenario-01,1.2,0.15,2,2.49375745679012335432
scenario-01,1.5,0.02,1,2.49676254320987682716
scenario-01,1.2,0.1,1,2.49810177777777789753
