scenario,estimateMultiplier,safetyMargin,profileIncrements,avgCost
scenario-01,1.1,0.17,3,2.65116566666666731481
scenario-01,1.5,0.01,2,2.65137969135802520987
scenario-01,1.4,0.02,3,2.65161900000000064691
scenario-01,1.5,0.01,3,2.65586387654321052716
scenario-01,1.2,0.1,3,2.65637093827160562469
scenario-01,1.0,0.15,1,2.65687759259259308518
scenario-01,1.3,0.04,3,2.65744803703703766790
scenario-01,1.2,0.08,2,2.65770377777777809629
scenario-01,1.3,0.03,2,2.66208527160493868641
scenario-01,1.4,0.02,2,2.66262907407407445185
scenario-01,1.1,0.1,1,2.66506202469135855061
scenario-01,1.5,0.01,1,2.66660676543209939382
scenario-01,1.1,0.18,3,2.66904433333333397777
scenario-01,1.2,0.09,2,2.66973793827160525555
scenario-01,1.1,0.16,2,2.67409634567901259135
scenario-01,1.3,0.05,3,2.67534565432098829629
scenario-01,1.2,0.05,1,2.67538876543209934074
scenario-01,1.2,0.11,3,2.67713383950617352962
scenario-01,1.3,0.04,2,2.67759585185185223827
scenario-01,1.1,0.11,1,2.68040379012345730987
scenario-01,1.0,0.16,1,2.68089560493827208888
scenario-01,1.3,0.02,1,2.68538698765432162839
scenario-01,1.1,0.19,3,2.68689286419753149753
scenario-01,1.2,0.1,2,2.68773434567901265925
scenario-01,1.2,0.12,3,2.68911003703703773209
scenario-01,1.2,0.06,1,2.69044361728395117530
scenario-01,1.1,0.17,2,2.69193118518518540000
scenario-01,1.0,0.17,1,2.69861138271604983580
scenario-01,1.2,0.11,2,2.69973382716049413580
scenario-01,1.1,0.12,1,2.70422893827160545061
scenario-01,1.3,0.05,2,2.70430412345679049506
scenario-01,1.1,0.2,3,2.70470839506172903086
scenario-01,1.3,0.06,3,2.70492590123456856049
scenario-01,1.2,0.13,3,2.70989703703703772345
scenario-01,1.2,0.07,1,2.71131630864197585925
scenario-01,1.4,0.03,3,2.71372328395061793456
scenario-01,1.5,0.02,2,2.71427254320987689753
scenario-01,1.5,0.02,3,2.71539080246913644197
scenario-01,1.1,0.18,2,2.71572458024691376666
scenario-01,1.3,0.03,1,2.71872190123456850000
scenario-01,1.3,0.07,3,2.72272155555555621111
scenario-01,1.2,0.12,2,2.72346090123456818024
scenario-01,1.4,0.02,1,2.72442170370370433086
scenario-01,1.0,0.18,1,2.72556298765432144197
scenario-01,1.4,0.03,2,2.72771823456790156296
scenario-01,1.2,0.14,3,2.72772911111111176913
scenario-01,1.1,0.13,1,2.72797433333333382716
scenario-01,1.3,0.06,2,2.73403008641975342222
scenario-01,1.1,0.19,2,2.73663961728395077037
scenario-01,1.2,0.08,1,2.73845183950617336296
scenario-01,1.3,0.08,3,2.74062196296296363086
scenario-01,1.6,0.01,2,2.74068458024691406172
scenario-01,1.2,0.13,2,2.74131145679012372469
scenario-01,1.4,0.04,3,2.74346098765432161481
scenario-01,1.2,0.15,3,2.74551290123456857407
scenario-01,1.3,0.07,2,2.74610906172839537407
scenario-01,1.0,0.19,1,2.74656035802469180740
scenario-01,1.3,0.04,1,2.74885469135802526543
scenario-01,1.1,0.2,2,2.75148762962962977777
scenario-01,1.3,0.09,3,2.75259098765432166049
scenario-01,1.2,0.16,3,2.75456261728395128641
scenario-01,1.4,0.04,2,2.75465967901234598395
scenario-01,1.5,0.02,1,2.75604713580246972222
scenario-01,1.1,0.14,1,2.75772149382716096049
scenario-01,1.6,0.01,3,2.75791703703703764814
scenario-01,1.0,0.2,1,2.75868591358024734691
scenario-01,1.2,0.14,2,2.76212183950617308518
scenario-01,1.6,0.01,1,2.76212945679012406419
scenario-01,1.2,0.09,1,2.76217122222222274444
scenario-01,1.5,0.03,3,2.76593382716049445555
scenario-01,1.1,0.15,1,2.76686585185185232098
scenario-01,1.3,0.08,2,2.76689069135802499135
scenario-01,1.4,0.05,3,2.77001561728395125925
scenario-01,1.2,0.17,3,2.77242938271605004938
scenario-01,1.3,0.1,3,2.77334903703703770123
scenario-01,1.3,0.05,1,2.77599939506172897777
scenario-01,1.3,0.09,2,2.77605288888888918271
scenario-01,1.3,0.11,3,2.77648771604938339259
scenario-01,1.5,0.03,2,2.77994439506172872716
scenario-01,1.4,0.05,2,2.78129965432098793456
scenario-01,1.2,0.1,1,2.78322682716049436543
scenario-01,1.2,0.15,2,2.78598240740740761975
scenario-01,1.4,0.03,1,2.78665761728395121111
scenario-01,1.4,0.06,3,2.78784456790123521234
scenario-01,1.2,0.18,3,2.79017506172839572345
scenario-01,1.1,0.16,1,2.79061119753086465432
scenario-01,1.2,0.16,2,2.79191325925925947037
scenario-01,1.3,0.12,3,2.79420030864197599012
scenario-01,1.3,0.1,2,2.79680439506172867530
scenario-01,1.4,0.06,2,2.79919162962962991111
scenario-01,1.2,0.17,2,2.80105956790123476419
scenario-01,1.2,0.11,1,2.80114435802469188518
scenario-01,1.3,0.06,1,2.80561475308642031851
scenario-01,1.3,0.11,2,2.80584245679012373333
scenario-01,1.2,0.19,3,2.80788735802469201481
scenario-01,1.1,0.17,1,2.80854756790123503580
scenario-01,1.7,0.01,2,2.80961392592592640246
scenario-01,1.4,0.04,1,2.81124651851851907530
scenario-01,1.6,0.02,2,2.81184308641975344444
scenario-01,1.3,0.07,1,2.81482009876543266172
scenario-01,1.3,0.13,3,2.81502039506172907654
scenario-01,1.2,0.12,1,2.81596146913580299382
scenario-01,1.2,0.2,3,2.81683582716049448641
scenario-01,1.6,0.02,3,2.81697118518518577901
scenario-01,1.4,0.07,3,2.81748707407407473950
scenario-01,1.5,0.04,2,2.81846001234567928518
