scenario,estimateMultiplier,safetyMargin,profileIncrements,avgCost
scenario-01,1.2,0.07,2,3.47897008641975303209
scenario-01,1.2,0.07,3,3.47897008641975303209
scenario-01,1.1,0.14,1,3.49067238271604939876
scenario-01,1.1,0.14,2,3.49067238271604939876
scenario-01,1.1,0.14,3,3.49067238271604939876
scenario-01,1.3,0.03,1,3.49686433333333319012
scenario-01,1.3,0.03,2,3.49686433333333319012
scenario-01,1.3,0.03,3,3.49686433333333319012
scenario-01,1.2,0.08,1,3.50237467901234569012
scenario-01,1.2,0.08,2,3.50237467901234569012
scenario-01,1.2,0.08,3,3.50237467901234569012
scenario-01,1.1,0.15,1,3.51118548148148149259
scenario-01,1.1,0.15,2,3.51118548148148149259
scenario-01,1.1,0.15,3,3.51118548148148149259
scenario-01,1.2,0.09,1,3.52577927160493827530
scenario-01,1.2,0.09,2,3.52577927160493827530
scenario-01,1.2,0.09,3,3.52577927160493827530
scenario-01,1.6,0.01,1,3.53707260493827131975
scenario-01,1.6,0.01,2,3.53707260493827131975
scenario-01,1.6,0.01,3,3.53707260493827131975
scenario-01,1.3,0.04,1,3.53761788888888879753
scenario-01,1.3,0.04,2,3.53761788888888879753
scenario-01,1.3,0.04,3,3.53761788888888879753
scenario-01,1.4,0.02,1,3.54023674074074049012
scenario-01,1.4,0.02,2,3.54023674074074049012
scenario-01,1.4,0.02,3,3.54023674074074049012
scenario-01,1.1,0.16,1,3.54044122222222228271
scenario-01,1.1,0.16,2,3.54044122222222228271
scenario-01,1.1,0.16,3,3.54044122222222228271
scenario-01,1.2,0.1,1,3.54911570370370375679
scenario-01,1.2,0.1,2,3.54911570370370375679
scenario-01,1.2,0.1,3,3.54911570370370375679
scenario-01,1.1,0.17,1,3.56384581481481486296
scenario-01,1.1,0.17,2,3.56384581481481486296
scenario-01,1.1,0.17,3,3.56384581481481486296
scenario-01,1.5,0.02,1,3.57224765432098733209
scenario-01,1.5,0.02,2,3.57224765432098733209
scenario-01,1.5,0.02,3,3.57224765432098733209
scenario-01,1.3,0.05,1,3.57272477777777785555
scenario-01,1.3,0.05,2,3.57272477777777785555
scenario-01,1.3,0.05,3,3.57272477777777785555
scenario-01,1.2,0.11,1,3.57843960493827171111
scenario-01,1.2,0.11,2,3.57843960493827171111
scenario-01,1.2,0.11,3,3.57843960493827171111
scenario-01,1.1,0.18,1,3.59303339506172849259
scenario-01,1.1,0.18,2,3.59303339506172849259
scenario-01,1.1,0.18,3,3.59303339506172849259
scenario-01,1.7,0.01,1,3.59578856790123424814
scenario-01,1.7,0.01,2,3.59578856790123424814
scenario-01,1.7,0.01,3,3.59578856790123424814
scenario-01,1.3,0.06,1,3.59888454320987660370
scenario-01,1.3,0.06,2,3.59888454320987660370
scenario-01,1.3,0.06,3,3.59888454320987660370
scenario-01,1.2,0.12,1,3.60177603703703713086
scenario-01,1.2,0.12,2,3.60177603703703713086
scenario-01,1.2,0.12,3,3.60177603703703713086
scenario-01,1.4,0.03,1,3.61038235802469121975
scenario-01,1.4,0.03,2,3.61038235802469121975
scenario-01,1.4,0.03,3,3.61038235802469121975
scenario-01,1.3,0.07,1,3.61926132098765444691
scenario-01,1.3,0.07,2,3.61926132098765444691
scenario-01,1.3,0.07,3,3.61926132098765444691
scenario-01,1.1,0.19,1,3.61932948148148162839
scenario-01,1.1,0.19,2,3.61932948148148162839
scenario-01,1.1,0.19,3,3.61932948148148162839
scenario-01,1.6,0.02,1,3.62188017283950590246
scenario-01,1.6,0.02,2,3.62188017283950590246
scenario-01,1.6,0.02,3,3.62188017283950590246
scenario-01,1.2,0.13,1,3.62511246913580261234
scenario-01,1.2,0.13,2,3.62511246913580261234
scenario-01,1.2,0.13,3,3.62511246913580261234
scenario-01,1.3,0.08,1,3.63667844444444455802
scenario-01,1.3,0.08,2,3.63667844444444455802
scenario-01,1.3,0.08,3,3.63667844444444455802
scenario-01,1.1,0.2,1,3.64273407407407420864
scenario-01,1.1,0.2,2,3.64273407407407420864
scenario-01,1.1,0.2,3,3.64273407407407420864
scenario-01,1.2,0.14,1,3.64844890123456802716
scenario-01,1.2,0.14,2,3.64844890123456802716
scenario-01,1.2,0.14,3,3.64844890123456802716
scenario-01,1.4,0.04,1,3.65140855555555553333
scenario-01,1.4,0.04,2,3.65140855555555553333
scenario-01,1.4,0.04,3,3.65140855555555553333
scenario-01,1.8,0.01,1,3.65974223456790092592
scenario-01,1.8,0.01,2,3.65974223456790092592
scenario-01,1.8,0.01,3,3.65974223456790092592
scenario-01,1.5,0.03,1,3.66256556790123439135
scenario-01,1.5,0.03,2,3.66256556790123439135
scenario-01,1.5,0.03,3,3.66256556790123439135
scenario-01,1.3,0.09,1,3.66586602469135820000
scenario-01,1.3,0.09,2,3.66586602469135820000
scenario-01,1.3,0.09,3,3.66586602469135820000
scenario-01,1.2,0.15,1,3.67178533333333350864
scenario-01,1.2,0.15,2,3.67178533333333350864
scenario-01,1.2,0.15,3,3.67178533333333350864
scenario-01,1.5,0.04,1,3.68294234567901215555
scenario-01,1.5,0.04,2,3.68294234567901215555
scenario-01,1.5,0.04,3,3.68294234567901215555
scenario-01,1.4,0.05,1,3.68314682716049389876
scenario-01,1.4,0.05,2,3.68314682716049389876
scenario-01,1.4,0.05,3,3.68314682716049389876
scenario-01,1.3,0.1,1,3.68631096296296312592
scenario-01,1.3,0.1,2,3.68631096296296312592
scenario-01,1.3,0.1,3,3.68631096296296312592
scenario-01,1.2,0.16,1,3.69216211111111127407
scenario-01,1.2,0.16,2,3.69216211111111127407
scenario-01,1.2,0.16,3,3.69216211111111127407
scenario-01,1.6,0.03,1,3.69746797530864182839
scenario-01,1.6,0.03,2,3.69746797530864182839
scenario-01,1.6,0.03,3,3.69746797530864182839
scenario-01,1.4,0.06,1,3.70668774074074087037
scenario-01,1.4,0.06,2,3.70668774074074087037
scenario-01,1.4,0.06,3,3.70668774074074087037
scenario-01,1.3,0.11,1,3.70957923456790145061
scenario-01,1.3,0.11,2,3.70957923456790145061
scenario-01,1.3,0.11,3,3.70957923456790145061
scenario-01,1.7,0.02,1,3.71543038271604928888
scenario-01,1.7,0.02,2,3.71543038271604928888
scenario-01,1.7,0.02,3,3.71543038271604928888
scenario-01,1.2,0.17,1,3.71852635802469157407
scenario-01,1.2,0.17,2,3.71852635802469157407
scenario-01,1.2,0.17,3,3.71852635802469157407
scenario-01,1.4,0.07,1,3.72403670370370389259
scenario-01,1.4,0.07,2,3.72403670370370389259
scenario-01,1.4,0.07,3,3.72403670370370389259
scenario-01,1.3,0.12,1,3.73305198765432119135
scenario-01,1.3,0.12,2,3.73305198765432119135
scenario-01,1.3,0.12,3,3.73305198765432119135
scenario-01,1.2,0.18,1,3.73890313580246940123
scenario-01,1.2,0.18,2,3.73890313580246940123
scenario-01,1.2,0.18,3,3.73890313580246940123
scenario-01,1.9,0.01,1,3.74111302469135758395
scenario-01,1.9,0.01,2,3.74111302469135758395
scenario-01,1.9,0.01,3,3.74111302469135758395
scenario-01,1.4,0.08,1,3.74750945679012368518
scenario-01,1.4,0.08,2,3.74750945679012368518
scenario-01,1.4,0.08,3,3.74750945679012368518
scenario-01,1.3,0.13,1,3.75053727160493852469
scenario-01,1.3,0.13,2,3.75053727160493852469
scenario-01,1.3,0.13,3,3.75053727160493852469
scenario-01,1.5,0.05,1,3.75907543209876544567
scenario-01,1.5,0.05,2,3.75907543209876544567
scenario-01,1.5,0.05,3,3.75907543209876544567
scenario-01,1.2,0.19,1,3.75941623456790148765
scenario-01,1.2,0.19,2,3.75941623456790148765
scenario-01,1.2,0.19,3,3.75941623456790148765
scenario-01,1.4,0.09,1,3.77077772839506201358
scenario-01,1.4,0.09,2,3.77077772839506201358
scenario-01,1.4,0.09,3,3.77077772839506201358
scenario-01,1.3,0.14,1,3.77098220987654351234
scenario-01,1.3,0.14,2,3.77098220987654351234
scenario-01,1.3,0.14,3,3.77098220987654351234
scenario-01,1.6,0.04,1,3.77615175308641961234
scenario-01,1.6,0.04,2,3.77615175308641961234
scenario-01,1.6,0.04,3,3.77615175308641961234
scenario-01,1.2,0.2,1,3.77986117283950647530
scenario-01,1.2,0.2,2,3.77986117283950647530
scenario-01,1.2,0.2,3,3.77986117283950647530
scenario-01,1.5,0.06,1,3.79122266666666680370
scenario-01,1.5,0.06,2,3.79122266666666680370
scenario-01,1.5,0.06,3,3.79122266666666680370
scenario-01,1.3,0.15,1,3.79142714814814843333
scenario-01,1.3,0.15,2,3.79142714814814843333
scenario-01,1.3,0.15,3,3.79142714814814843333
scenario-01,1.7,0.03,1,3.79397783950617292839
scenario-01,1.7,0.03,2,3.79397783950617292839
scenario-01,1.7,0.03,3,3.79397783950617292839
scenario-01,2.0,0.01,1,3.80850346913580217530
scenario-01,2.0,0.01,2,3.80850346913580217530
scenario-01,2.0,0.01,3,3.80850346913580217530
scenario-01,1.4,0.1,1,3.80898059259259292716
scenario-01,1.4,0.1,2,3.80898059259259292716
scenario-01,1.4,0.1,3,3.80898059259259292716
scenario-01,1.8,0.02,1,3.81428645679012346296
scenario-01,1.8,0.02,2,3.81428645679012346296
scenario-01,1.8,0.02,3,3.81428645679012346296
scenario-01,1.3,0.16,1,3.81483174074074107530
scenario-01,1.3,0.16,2,3.81483174074074107530
scenario-01,1.3,0.16,3,3.81483174074074107530
scenario-01,1.6,0.05,1,3.81710979012345681481
scenario-01,1.6,0.05,2,3.81710979012345681481
scenario-01,1.6,0.05,3,3.81710979012345681481
scenario-01,1.5,0.07,1,3.81745059259259289753
scenario-01,1.5,0.07,2,3.81745059259259289753
scenario-01,1.5,0.07,3,3.81745059259259289753
scenario-01,1.4,0.11,1,3.81765507407407440000
scenario-01,1.4,0.11,2,3.81765507407407440000
scenario-01,1.4,0.11,3,3.81765507407407440000
scenario-01,1.4,0.12,1,3.83810001234567938765
scenario-01,1.4,0.12,2,3.83810001234567938765
scenario-01,1.4,0.12,3,3.83810001234567938765
scenario-01,1.3,0.17,1,3.83823633333333371728
scenario-01,1.3,0.17,2,3.83823633333333371728
scenario-01,1.3,0.17,3,3.83823633333333371728
scenario-01,1.5,0.08,1,3.84367851851851887283
scenario-01,1.5,0.08,2,3.84367851851851887283
