Workflow,ChunkFunc,SLAM,ChunkFunc/SLAM,StepConf,ChunkFunc/StepConf
Cyclic,691.3159154929576,666.3086131386857,0.6793627555587884,515.9067567567564,0.9082178845433517
FaceDet,65.30075117370868,53.539798657717974,0.8949711874626273,51.89344155844137,0.9583900074953783
High Resources - Low Resources,914.988826530612,781.6356153846148,0.7627456350652474,710.7959872611461,0.9821357539681224
Homogeneous,238.79755868544578,212.6148591549292,0.617112672487548,161.4970212765952,1.039075880458901
Low Resources - High Resources,949.108450704225,793.9367175572513,0.7633472239168411,741.6256097560972,0.9813214379091416
Random,599.0076995305163,609.0816417910446,0.6364784075462762,509.9202958579879,0.863118879351489
Staircase,676.1102816901407,661.0652941176465,0.6519087729164423,508.5644242424239,0.942225966305869
VidPro,22.569953051643097,10.586478873239415,0.3582433079665679,3.2067499999991127,0.8284867856866368
