Workflow,ChunkFunc,SLAM,ChunkFunc/SLAM,StepConf,ChunkFunc/StepConf
Cyclic,7935.091893004115,13738.375308641977,0.2609178408430417,15472.229315068493,0.4699387727882068
FaceDet,759.6311111111111,1612.1573459715637,0.37873730175808684,1115.3485714285714,0.5674624318456354
High Resources - Low Resources,13427.876584362142,7696.8482716049375,0.7909174656402171,11819.557821782177,0.8816852507608344
Homogeneous,755.5796296296288,1036.4872777777778,0.630667278919808,960.3535714285714,0.7344242368217903
Long-Short,399.36016460905284,576.8694029850749,0.6604476469535542,475.3847777777777,0.7726144879598106
Low Resources - High Resources,13425.471358024692,7717.834197530864,0.7901458057933702,11131.63862244898,0.8868612395143229
Random,6601.12242798354,12998.884999999998,0.23157322842936898,8971.837960526313,0.5775584679126472
LogPro,8.56774193548331,0.9819354838709676,0.9625492772659001,1.3916867469875902,2.294173664617929
Short Cyclic,1890.6653909465022,3308.7098214285716,0.28228622777274803,3336.9831363636354,0.5017613146463582
Short Homogeneous,162.7369135802469,242.80395061728365,0.6702399741294106,189.1201714285711,0.7844789843373975
Short-Long Random,17263.43555555556,9852.898456790123,0.7980873084566739,13879.976428571428,0.8737421214964279
Short-Long,365.41917695473256,612.1706722689075,0.5895089398779465,454.76725146198794,0.7334589250718837
Short Staircase,1462.8695061728395,3971.021530612244,0.37104523636813663,2014.2888059701493,0.5247066326262829
Staircase,5880.294855967077,13617.684782608698,0.19942567831449526,6348.878111111111,0.617009307838692
VidPro,634.1687654320984,681.6648691099477,0.6279676821431722,518.9222155688619,0.8783875053787786
