strategy,scenario,sloMs,executionTimeMs,cost,avgResConfigStratExecTimeMs
Cheapest,0.49MB,100,716780,0.0034200000000000007,0.275
Cheapest,0.82MB,100,1370840,0.005719999999999997,0.4
Cheapest,1.24MB,100,1370840,0.005719999999999997,0.375
Fastest,0.49MB,100,122100,0.017759999999999998,0.45
Fastest,0.82MB,100,288620,0.04509999999999998,0.575
Fastest,1.24MB,100,434907,0.07250200000000001,0.4
ProportionalCriticalPathSlo,0.49MB,0.0234666,122100,0.017759999999999998,1.225
ProportionalCriticalPathSlo,0.49MB,0.02385771,122100,0.017759999999999998,0.95
ProportionalCriticalPathSlo,0.49MB,0.02424882,122100,0.017759999999999998,1.125
ProportionalCriticalPathSlo,0.49MB,0.02463993,122100,0.017759999999999998,1.45
ProportionalCriticalPathSlo,0.49MB,0.02503104,122100,0.017759999999999998,1.525
ProportionalCriticalPathSlo,0.49MB,0.02542215,122100,0.017759999999999998,1.8
ProportionalCriticalPathSlo,0.49MB,0.02581326,122100,0.017759999999999998,1.35
ProportionalCriticalPathSlo,0.49MB,0.02620437,122100,0.017759999999999998,1.725
ProportionalCriticalPathSlo,0.49MB,0.02659548,122100,0.017759999999999998,1.325
ProportionalCriticalPathSlo,0.49MB,0.02698659,122100,0.017759999999999998,1.25
ProportionalCriticalPathSlo,0.49MB,0.0273777,122100,0.017759999999999998,1.125
ProportionalCriticalPathSlo,0.49MB,0.02776881,122100,0.017759999999999998,1.275
ProportionalCriticalPathSlo,0.49MB,0.02815992,122100,0.017759999999999998,1.75
ProportionalCriticalPathSlo,0.49MB,0.02855103,122100,0.017759999999999998,1.375
ProportionalCriticalPathSlo,0.49MB,0.02894214,122100,0.017759999999999998,1.4
ProportionalCriticalPathSlo,0.49MB,0.02933325,122100,0.017759999999999998,1.25
ProportionalCriticalPathSlo,0.49MB,0.029724360000000002,122100,0.017759999999999998,1.475
ProportionalCriticalPathSlo,0.49MB,0.030115470000000002,122100,0.017759999999999998,1.6
ProportionalCriticalPathSlo,0.49MB,0.030506580000000002,122100,0.017759999999999998,1.375
ProportionalCriticalPathSlo,0.49MB,0.030897690000000002,122100,0.017759999999999998,1.45
ProportionalCriticalPathSlo,0.49MB,0.031288800000000005,122100,0.017759999999999998,1.175
ProportionalCriticalPathSlo,0.49MB,0.031679910000000006,122100,0.017759999999999998,2.35
ProportionalCriticalPathSlo,0.49MB,0.032071020000000006,122100,0.017759999999999998,1.5
ProportionalCriticalPathSlo,0.49MB,0.032462130000000006,122100,0.017759999999999998,1.775
ProportionalCriticalPathSlo,0.49MB,0.032853240000000006,122100,0.017759999999999998,1.3
ProportionalCriticalPathSlo,0.49MB,0.033244350000000006,122100,0.017759999999999998,1.3
ProportionalCriticalPathSlo,0.49MB,0.033635460000000006,122100,0.017759999999999998,1.175
ProportionalCriticalPathSlo,0.49MB,0.034026570000000006,122100,0.017759999999999998,1.225
ProportionalCriticalPathSlo,0.49MB,0.034417680000000006,122100,0.017759999999999998,1.575
ProportionalCriticalPathSlo,0.49MB,0.034808790000000006,122100,0.017759999999999998,1.6
ProportionalCriticalPathSlo,0.49MB,0.035199900000000006,122100,0.017759999999999998,1.125
ProportionalCriticalPathSlo,0.49MB,0.035591010000000006,122100,0.017759999999999998,1.525
ProportionalCriticalPathSlo,0.49MB,0.035982120000000006,122100,0.017759999999999998,1.575
ProportionalCriticalPathSlo,0.49MB,0.036373230000000006,122100,0.017759999999999998,1.05
ProportionalCriticalPathSlo,0.49MB,0.036764340000000006,122100,0.017759999999999998,1.425
ProportionalCriticalPathSlo,0.49MB,0.037155450000000007,122100,0.017759999999999998,1.475
ProportionalCriticalPathSlo,0.49MB,0.03754656000000001,122100,0.017759999999999998,1.575
ProportionalCriticalPathSlo,0.49MB,0.03793767000000001,122100,0.017759999999999998,1.5
ProportionalCriticalPathSlo,0.49MB,0.03832878000000001,122100,0.017759999999999998,1.2
ProportionalCriticalPathSlo,0.49MB,0.03871989000000001,122100,0.017759999999999998,1.625
ProportionalCriticalPathSlo,0.49MB,0.03911100000000001,122100,0.017759999999999998,1.4
ProportionalCriticalPathSlo,0.49MB,0.03950211000000001,122100,0.017759999999999998,1.575
ProportionalCriticalPathSlo,0.49MB,0.03989322000000001,122100,0.017759999999999998,1.25
ProportionalCriticalPathSlo,0.49MB,0.04028433,122100,0.017759999999999998,1.875
ProportionalCriticalPathSlo,0.49MB,0.04067544,122100,0.017759999999999998,1.475
ProportionalCriticalPathSlo,0.49MB,0.04106655,122100,0.017759999999999998,1.1
ProportionalCriticalPathSlo,0.49MB,0.04145766,122100,0.017759999999999998,1.4
ProportionalCriticalPathSlo,0.49MB,0.04184877,122100,0.017759999999999998,1.4
ProportionalCriticalPathSlo,0.49MB,0.04223988,122100,0.017759999999999998,1.7
ProportionalCriticalPathSlo,0.49MB,0.04263099,122100,0.017759999999999998,1.375
ProportionalCriticalPathSlo,0.49MB,0.0430221,122100,0.017759999999999998,1.375
ProportionalCriticalPathSlo,0.49MB,0.04341321,122100,0.017759999999999998,1.15
ProportionalCriticalPathSlo,0.49MB,0.04380432,122100,0.017759999999999998,1.15
ProportionalCriticalPathSlo,0.49MB,0.04419543,122100,0.017759999999999998,1.5
ProportionalCriticalPathSlo,0.49MB,0.04458654,122100,0.017759999999999998,1.525
ProportionalCriticalPathSlo,0.49MB,0.04497765,122100,0.017759999999999998,1.225
ProportionalCriticalPathSlo,0.49MB,0.04536876,122100,0.017759999999999998,1.075
ProportionalCriticalPathSlo,0.49MB,0.04575987,122100,0.017759999999999998,1.45
ProportionalCriticalPathSlo,0.49MB,0.04615098,122100,0.017759999999999998,1.3
ProportionalCriticalPathSlo,0.49MB,0.04654209,122100,0.017759999999999998,1.1
ProportionalCriticalPathSlo,0.49MB,0.0469332,122100,0.017759999999999998,1.125
ProportionalCriticalPathSlo,0.49MB,0.04732431,122100,0.017759999999999998,1.375
ProportionalCriticalPathSlo,0.49MB,0.04771542,122100,0.017759999999999998,1.825
ProportionalCriticalPathSlo,0.49MB,0.04810653,122100,0.017759999999999998,1.575
ProportionalCriticalPathSlo,0.49MB,0.04849764,122100,0.017759999999999998,1.75
ProportionalCriticalPathSlo,0.49MB,0.04888875,122100,0.017759999999999998,1.575
ProportionalCriticalPathSlo,0.49MB,0.04927986,122100,0.017759999999999998,1.5
ProportionalCriticalPathSlo,0.49MB,0.04967097,122100,0.017759999999999998,1.175
