Workflow,ChunkFunc,SLAM,ChunkFunc/SLAM,StepConf,ChunkFunc/StepConf
Cyclic,558.1772300469481,711.3113114754093,0.5021283710828232,489.1221126760558,0.6822494857846784
FaceDet,66.98224999999984,57.4309868421051,0.90078595476722,49.29598425196803,0.9124555353409232
High Resources - Low Resources,721.664928909952,391.30591549295707,0.5384109259280575,683.6024999999993,0.7299040743707051
Homogeneous,244.16920187793417,261.0095918367343,0.5938645880817066,62.624823529411636,1.0898403376973256
Long-Short,121.9589805825238,141.589530201342,0.636411898654015,51.18960784313678,1.091982134854272
Low Resources - High Resources,718.176948356807,393.9063380281686,0.5474884105930647,636.3864473684204,0.6841728906446904
Random,504.6778403755865,727.987872340425,0.4764568695078991,428.6027272727269,0.7311840606139413
Short-Long,115.87539906103272,141.95589743589716,0.618179535717125,14.414366197182995,0.8102636258818526
Staircase,533.5572769953046,688.2246564885494,0.4858942851410022,458.25020408163215,0.6880053050067106
VidPro,30.982317073170723,17.94929577464753,1.2939500941619837,24.31830508474576,0.7646259356835192
