Workflow,ChunkFunc,SLAM,StepConf
Cyclic,1.0,0.6666666666666666,0.892018779342723
FaceDet,1.0,0.8873239436619719,0.784037558685446
High Resources - Low Resources,1.0,0.6666666666666666,0.8262910798122066
Homogeneous,1.0,0.727699530516432,0.8028169014084506
LogPro,1.0,0.6666666666666666,0.8924731182795699
Low Resources - High Resources,1.0,0.6666666666666666,0.8075117370892019
Random,1.0,0.6948356807511736,0.6948356807511736
Staircase,1.0,0.6619718309859155,0.7323943661971831
VidPro,1.0,0.8028169014084506,0.7605633802816901
