Workflow,ChunkFunc,SLAM,ChunkFunc/SLAM (both SLO compliant),StepConf,ChunkFunc/StepConf (both SLO compliant)
Cyclic,,,,,
FaceDet,,,,,
High Resources - Low Resources,,,,,
Homogeneous,,,,,
Low Resources - High Resources,,,,,
Random,,-10000.0,-0.11178433333333326,,
Staircase,,,,,
VidPro,,,,,
