Workflow,ChunkFunc,SLAM,StepConf
Cyclic,0.0,0.0,0.0
FaceDet,0.0,0.0,0.0
High Resources - Low Resources,0.0,0.0,0.0
Homogeneous,0.0,0.0,0.0
Long-Short,0.0,0.0,0.0
Low Resources - High Resources,0.0,0.0,0.0
Random,0.0,1.0,0.0
Short-Long,0.0,0.0,0.0
Staircase,0.0,0.0,0.0
VidPro,0.0,0.0,0.0
